gene,SI_P1,SI_P3,SI_P4,SI_P5,SI_P8,SI_N2,SI_N3,SI_N4,SI_N5,SI_N7,SI_N8
Lnpep,32.66,33.39,43.21,31.33,50.54,24.55,23.82,31.4,16.59,25.56,30.64
Lnpk,23.13,17.31,24.9,15.94,21.13,17.86,14.23,16.12,14.62,17.97,22.01
Lnx2,3.67,0.28,4.38,1.28,5.43,2.37,0.93,3.07,1.65,4.38,2.04
Lonp1,7.98,10.94,11.36,11.83,1.79,15.97,15.77,17.67,9.49,8.27,11.36
Lonp2,58.88,48.89,46.63,39.19,39.33,21.93,18.57,26.81,25.09,26.71,36.54
Lonrf1,4.29,4.55,6.49,3.4,4.41,7.95,3.28,10.31,6.37,6.5,6.18
Lpar6,10.06,13.54,7.75,6.78,11.63,8.5,6.57,3.02,4.46,5.28,4.11
Lpcat1,5.23,1.64,6.14,4.4,1.1,4.05,1.05,1.1,3.7,3.05,4.85
Lpcat2,228.42,301.99,229.18,282.95,321.78,329.21,347.35,312.23,309.58,377.61,364.29
Lpcat3,77.42,52,69.2,55.94,80.5,39.56,47.67,41.35,33.07,33.85,57.16
Lpgat1,3.87,4.04,6.86,5.9,3.17,7.18,4.65,2.39,7.75,7.11,4.49
Lpin1,15.92,23.25,15.19,18.85,27.4,12.88,5.65,10.61,7.01,9.41,12.2
Lpin2,56.63,93.59,85.11,76.68,68.28,74.36,90.14,48.91,50.41,72.91,44.02
Lpp,9.03,7.06,7.14,6.15,6.74,4.61,3.32,2.56,2.42,6.18,3.45
Lpxn,0.8,4.7,3.54,4.97,3.4,3.46,4.08,13.03,7.72,4.73,5.86
Lrba,2.11,9.53,2.7,0.67,6.76,3.33,0.56,3.61,2.87,3.87,1.57
Lrch1,19.8,11.4,13.11,12.42,15.9,8.88,3.67,4.8,9.82,7.49,7.7
Lrch3,6.35,9.95,7.35,4.15,8.05,4.08,11.7,2.54,3.56,6.45,4.59
Lrch4,121.54,99,111.37,98.52,273.36,95.74,90.22,98.09,119.21,135.61,144.91
Lrif1,38.38,55.9,44.15,70.02,62.8,46.09,30.45,39.34,42.38,27.17,39.38
Lrig2,18.71,7.38,4.72,6.29,8.2,11.35,1.2,15.01,2.07,2.96,6.58
Lrmp,125.56,88.81,90.15,126.52,124.69,65.14,41.76,73.22,70.22,69.84,76.05
Lrp10,31.88,64.63,58,39.96,27.91,61.21,53.16,46.27,57.77,34.97,49.6
Lrp4,3.77,1.08,2.27,1.11,4.3,3.11,0.75,2.38,1.76,1.8,2.51
Lrp6,2.89,4.81,0.79,3.06,3.63,2.57,0.94,3.15,1.77,6.33,5.93
Lrpap1,38.67,45.96,57,52.41,44.63,32.64,31.13,34.88,31.63,22.77,10.76
Lrpprc,1.11,4.24,3.08,2.09,7.38,9.52,4.71,3.77,4.24,3.27,6.4
Lrrc1,2.36,2.66,3.83,7.02,2.8,5.28,4.63,2.04,3.82,7.88,7.6
Lrrc14,2.51,1.82,3.28,10.41,5.67,4.39,0.5,1,3.61,8.58,2.74
Lrrc25,35.09,16.57,33.98,57.85,60.15,39.69,59.48,40.31,44.58,59.18,49.6
Lrrc40,19.07,9.08,11.4,10.87,10.44,4.71,6.04,3.28,0.96,8.48,15.12
